id,location_id,store_name,period_start,period_end,guests_per_negative,loaded_at
221,112-0006,Wichita Falls (TX),2023-04-20,2023-05-17,8761.0,2026-04-03T19:22:18.585506+00:00
222,112-0006,Wichita Falls (TX),2023-05-18,2023-06-14,4308.0,2026-04-03T19:22:18.585506+00:00
223,112-0006,Wichita Falls (TX),2023-06-15,2023-07-12,2136.25,2026-04-03T19:22:18.585506+00:00
224,112-0006,Wichita Falls (TX),2023-07-13,2023-08-09,8844.0,2026-04-03T19:22:18.585506+00:00
225,112-0006,Wichita Falls (TX),2023-08-10,2023-09-06,9007.0,2026-04-03T19:22:18.585506+00:00
226,112-0006,Wichita Falls (TX),2023-09-07,2023-10-04,8674.0,2026-04-03T19:22:18.585506+00:00
227,112-0006,Wichita Falls (TX),2023-10-05,2023-11-01,4173.0,2026-04-03T19:22:18.585506+00:00
228,112-0006,Wichita Falls (TX),2023-11-02,2023-11-29,1595.67,2026-04-03T19:22:18.585506+00:00
229,112-0006,Wichita Falls (TX),2023-11-30,2023-12-27,3217.67,2026-04-03T19:22:18.585506+00:00
230,112-0006,Wichita Falls (TX),2023-12-28,2024-01-24,8543.0,2026-04-03T19:22:18.585506+00:00
231,112-0006,Wichita Falls (TX),2024-01-25,2024-02-21,9673.0,2026-04-03T19:22:18.585506+00:00
232,112-0006,Wichita Falls (TX),2024-02-22,2024-03-20,5592.5,2026-04-03T19:22:18.585506+00:00
233,112-0006,Wichita Falls (TX),2024-03-21,2024-04-17,11069.0,2026-04-03T19:22:18.585506+00:00
234,112-0006,Wichita Falls (TX),2024-04-18,2024-05-15,5417.0,2026-04-03T19:22:18.585506+00:00
235,112-0006,Wichita Falls (TX),2024-05-16,2024-06-12,11423.0,2026-04-03T19:22:18.585506+00:00
236,112-0006,Wichita Falls (TX),2024-06-13,2024-07-10,2915.0,2026-04-03T19:22:18.585506+00:00
237,112-0006,Wichita Falls (TX),2024-07-11,2024-08-07,6375.0,2026-04-03T19:22:18.585506+00:00
238,112-0006,Wichita Falls (TX),2024-08-08,2024-09-04,10674.0,2026-04-03T19:22:18.585506+00:00
239,112-0006,Wichita Falls (TX),2024-09-05,2024-10-02,3582.0,2026-04-03T19:22:18.585506+00:00
240,112-0006,Wichita Falls (TX),2024-10-03,2024-10-30,1737.0,2026-04-03T19:22:18.585506+00:00
241,112-0006,Wichita Falls (TX),2024-10-31,2024-11-27,3515.33,2026-04-03T19:22:18.585506+00:00
242,112-0006,Wichita Falls (TX),2024-11-28,2024-12-25,1999.4,2026-04-03T19:22:18.585506+00:00
243,112-0006,Wichita Falls (TX),2024-12-26,2025-01-22,2328.25,2026-04-03T19:22:18.585506+00:00
244,112-0006,Wichita Falls (TX),2025-01-23,2025-02-19,1620.67,2026-04-03T19:22:18.585506+00:00
245,112-0006,Wichita Falls (TX),2025-02-20,2025-03-19,1401.25,2026-04-03T19:22:18.585506+00:00
246,112-0006,Wichita Falls (TX),2025-03-20,2025-04-16,10454.0,2026-04-03T19:22:18.585506+00:00
247,112-0006,Wichita Falls (TX),2025-04-17,2025-05-14,1818.67,2026-04-03T19:22:18.585506+00:00
248,112-0006,Wichita Falls (TX),2025-05-15,2025-06-11,1851.33,2026-04-03T19:22:18.585506+00:00
249,112-0006,Wichita Falls (TX),2025-06-12,2025-07-09,3514.0,2026-04-03T19:22:18.585506+00:00
250,112-0006,Wichita Falls (TX),2025-07-10,2025-08-06,2638.25,2026-04-03T19:22:18.585506+00:00
251,112-0006,Wichita Falls (TX),2025-08-07,2025-09-03,2524.0,2026-04-03T19:22:18.585506+00:00
252,112-0006,Wichita Falls (TX),2025-09-04,2025-10-01,2415.75,2026-04-03T19:22:18.585506+00:00
253,112-0006,Wichita Falls (TX),2025-10-02,2025-10-29,4442.0,2026-04-03T19:22:18.585506+00:00
254,112-0006,Wichita Falls (TX),2025-10-30,2025-11-26,2386.0,2026-04-03T19:22:18.585506+00:00
