id,week_start,location_id,store_name,dm,revenue_band,hourly_goal,source,status
227,2026-04-23,112-0034,Marshall (TX),Miriam,<25k,422.0,draft,draft
228,2026-04-23,112-0035,Tulsa - 51st (OK),Dottie,NRO Seasoned,895.0,draft,draft
229,2026-04-23,112-0036,Denton (TX),Steve,35k-40k,588.0,draft,draft
230,2026-04-23,112-0037,McKinney - Hardin Blvd (TX),Miriam,35k-40k,588.0,draft,draft
231,2026-04-23,112-0038,Ada (OK),Dottie,NRO,979.0,draft,draft
232,2026-04-23,112-0040,Sherman,Steve,<25k,422.0,draft,draft
233,2026-04-23,112-0042,Victoria,Miriam,<25k,422.0,draft,draft
234,2026-04-23,112-0043,Greenville,Manny,<25k,422.0,draft,draft
306,2026-04-02,112-0033,Brownwood (TX),Steve,25k-30k,473.0,draft,draft
307,2026-04-02,112-0034,Marshall (TX),Miriam,25k-30k,473.0,draft,draft
308,2026-04-02,112-0035,Tulsa - 51st (OK),Dottie,45k-50k,849.0,draft,draft
309,2026-04-02,112-0036,Denton (TX),Steve,35k-40k,620.0,draft,draft
310,2026-04-02,112-0037,McKinney - Hardin Blvd (TX),Miriam,35k-40k,620.0,draft,draft
311,2026-04-02,112-0038,Ada (OK),Dottie,45k-50k,849.0,draft,draft
312,2026-04-02,112-0040,Sherman,Steve,<25k,422.0,draft,draft
313,2026-04-02,112-0042,Victoria,Miriam,<25k,422.0,draft,draft
314,2026-04-02,112-0043,Greenville,Manny,<25k,422.0,draft,draft
