id,week_start,location_id,actual_hours,hourly_goal,variance,net_sales,labor_pct,loaded_payroll
357,2026-04-09,112-0003,471.25,473.0,-1.75,23838.3,0.25764001627632843,6141.7
358,2026-04-09,112-0004,533.08,559.0,-25.92,25949.11,0.27387760119711235,7106.88
359,2026-04-09,112-0005,448.76,422.0,26.76,19440.31,0.30801052040836796,5987.82
360,2026-04-09,112-0008,547.32,559.0,-11.68,27538.21,0.265079683828397,7299.82
361,2026-04-09,112-0009,481.28,473.0,8.28,27248.78,0.22245326212769895,6061.58
362,2026-04-09,112-0011,495.09,473.0,22.09,22327.32,0.3119039813107887,6963.98
363,2026-04-09,112-0032,488.88,473.0,15.88,26961.74,0.2467919355353178,6653.94
364,2026-04-09,112-0034,442.62,473.0,-30.38,19473.99,0.30672194039331435,5973.1
365,2026-04-09,112-0037,568.01,559.0,9.01,23478.71,0.35401859812570624,8311.9
366,2026-04-09,112-0012,371.09,473.0,-101.91,26206.11,0.2125477608084527,5570.05
367,2026-04-09,112-0013,419.78,473.0,-53.22,25391.52,0.24347026093750984,6182.08
368,2026-04-09,112-0014,412.61,422.0,-9.39,20246.04,0.304618582201754,6167.32
369,2026-04-09,112-0016,437.81,422.0,15.81,25332.2,0.24565888473958045,6223.08
370,2026-04-09,112-0018,497.49,559.0,-61.51,34678.93,0.21894129951529645,7592.65
371,2026-04-09,112-0021,419.75,559.0,-139.25,29736.89,0.22067539678829898,6562.2
372,2026-04-09,112-0006,514.86,559.0,-44.14,29859.73,0.24900158172897074,7435.12
373,2026-04-09,112-0007,437.56,422.0,15.56,20846.64,0.28371286691764236,5914.46
374,2026-04-09,112-0010,433.96,422.0,11.96,20201.18,0.296767317552737,5995.05
375,2026-04-09,112-0033,451.74,473.0,-21.26,23154.81,0.26079117038749183,6038.57
376,2026-04-09,112-0036,690.06,620.0,70.06,37016.13,0.25698877759506467,9512.73
377,2026-04-16,112-0019,448.57,422.0,26.57,17057.36,0.3973205701233954,6777.24
378,2026-04-16,112-0020,412.94,422.0,-9.06,13498.74,0.46199348976274823,6236.33
379,2026-04-16,112-0022,381.73,422.0,-40.27,13129.52,0.4148895009109244,5447.3
380,2026-04-16,112-0023,419.32,422.0,-2.68,17516.09,0.35198037918279707,6165.32
381,2026-04-16,112-0026,438.46,473.0,-34.54,28924.04,0.2419025834565296,6996.8
382,2026-04-16,112-0027,552.23,473.0,79.23,26353.31,0.33703090807188923,8881.88
383,2026-04-16,112-0015,668.06,719.0,-50.94,43437.7,0.23639649428952272,10268.52
384,2026-04-16,112-0017,491.21,473.0,18.21,28155.26,0.28382227690314354,7991.09
385,2026-04-16,112-0024,544.36,473.0,71.36,29348.52,0.26178458061939747,7682.99
386,2026-04-16,112-0028,451.7,473.0,-21.3,30314.06,0.21463769617134754,6506.54
387,2026-04-16,112-0029,605.26,473.0,132.26,24646.73,0.32637392465450793,8044.05
388,2026-04-16,112-0030,389.86,422.0,-32.14,17943.72,0.3102032354495054,5566.2
389,2026-04-16,112-0002,627.47,620.0,7.47,36516.75,0.24877378189461,9084.41
390,2026-04-16,112-0031,485.01,473.0,12.01,23795.5,0.27890483494778423,6636.68
391,2026-04-16,112-0035,720.73,719.0,1.73,38552.45,0.28027297876010476,10805.21
392,2026-04-16,112-0038,873.39,719.0,154.39,38446.51,0.31581722242148896,12142.07
393,2026-04-16,112-0001,615.74,473.0,142.74,36642.87,0.23847422431703627,8738.38
394,2026-04-16,112-0003,471.3,473.0,-1.7,23789.6,0.259388976695699,6170.76
395,2026-04-16,112-0004,508.68,473.0,35.68,27358.79,0.2492306860062159,6818.65
396,2026-04-16,112-0005,460.25,422.0,38.25,18706.42,0.32905708307629145,6155.48
397,2026-04-16,112-0008,547.48,559.0,-11.52,27267.47,0.26734566866673,7289.84
398,2026-04-16,112-0009,483.49,473.0,10.49,26972.78,0.2268427651877189,6118.58
399,2026-04-16,112-0011,516.55,422.0,94.55,22312.54,0.3295841710535869,7353.86
400,2026-04-16,112-0032,513.41,473.0,40.41,26532.21,0.27008568076311773,7165.97
401,2026-04-16,112-0034,443.54,473.0,-29.46,16881.01,0.3528835063778767,5957.03
402,2026-04-16,112-0037,570.44,559.0,11.44,24403.5,0.3412535087180118,8327.78
403,2026-04-16,112-0012,507.83,473.0,34.83,24537.13,0.3047817735815069,7478.47
404,2026-04-16,112-0013,422.91,473.0,-50.09,26542.08,0.23799076786747686,6316.77
405,2026-04-16,112-0014,428.61,422.0,6.61,20650.08,0.306802201250552,6335.49
406,2026-04-16,112-0016,416.37,422.0,-5.63,25082.87,0.2402683584454251,6026.62
407,2026-04-16,112-0018,543.09,559.0,-15.91,30648.13,0.26967909624502373,8265.16
408,2026-04-16,112-0021,396.2,473.0,-76.8,28551.15,0.21640214141987274,6178.53
409,2026-04-16,112-0006,527.72,559.0,-31.28,27868.09,0.27166052643004956,7570.66
412,2026-04-16,112-0033,461.5,473.0,-11.5,24358.44,0.24811974822689797,6043.81
413,2026-04-16,112-0036,627.96,620.0,7.96,37083.22,0.23452305382326563,8696.87
488,2026-04-23,112-0019,441.19,422.0,19.19,16979.51,0.3941385823265807,6692.28
489,2026-04-23,112-0020,386.6,422.0,-35.4,13593.54,0.434189328166173,5902.17
490,2026-04-23,112-0022,397.38,422.0,-24.62,12001.31,0.48422213908315015,5811.3
491,2026-04-23,112-0023,402.17,422.0,-19.83,14734.36,0.40401958415567424,5952.97
492,2026-04-23,112-0026,479.54,473.0,6.54,25029.28,0.304778243720954,7628.38
493,2026-04-23,112-0027,536.53,473.0,63.53,26666.97,0.3236711932401769,8631.33
494,2026-04-23,112-0015,668.17,719.0,-50.83,42153.11,0.2447745848408338,10318.01
495,2026-04-23,112-0017,486.62,559.0,-72.38,29510.47,0.27204819170958644,8028.27
496,2026-04-23,112-0024,455.73,473.0,-17.27,27572.34,0.23727873658891482,6542.33
497,2026-04-23,112-0028,538.85,559.0,-20.15,31285.03,0.24983770192964497,7816.18
498,2026-04-23,112-0029,599.57,473.0,126.57,25925.53,0.31045035530614035,8048.59
499,2026-04-23,112-0030,393.98,422.0,-28.02,19828.78,0.2835529972091072,5622.51
500,2026-04-23,112-0002,596.62,620.0,-23.38,34998.8,0.2361446678171823,8264.78
501,2026-04-23,112-0031,471.21,473.0,-1.79,21732.73,0.28882979726891195,6277.06
502,2026-04-23,112-0035,719.93,719.0,0.93,38341.68,0.28182802631496584,10805.76
503,2026-04-23,112-0038,952.3,719.0,233.3,38905.1,0.3398883436875885,13223.39
504,2026-04-23,112-0001,560.31,559.0,1.31,33145.28,0.23870608424487588,7911.98
506,2026-04-23,112-0004,475.58,473.0,2.58,27114.24,0.23607853290374356,6401.09
507,2026-04-23,112-0005,423.29,422.0,1.29,18327.95,0.3038714095138845,5569.34
508,2026-04-23,112-0008,564.1,473.0,91.1,28813.28,0.25984164246486346,7486.89
509,2026-04-23,112-0009,465.75,473.0,-7.25,27242.91,0.2189799107364081,5965.65
510,2026-04-23,112-0011,521.09,422.0,99.09,21875.82,0.34335718615347904,7511.22
511,2026-04-23,112-0032,557.37,473.0,84.37,25767.62,0.30930951325733613,7970.17
512,2026-04-23,112-0034,416.0,473.0,-57.0,17744.57,0.3009196616204281,5339.69
513,2026-04-23,112-0037,748.15,559.0,189.15,24388.03,0.46741659740454644,11399.37
514,2026-04-23,112-0012,443.88,473.0,-29.12,27209.78,0.234591753406312,6383.19
515,2026-04-23,112-0013,397.97,473.0,-75.03,25079.82,0.23703439657860384,5944.78
516,2026-04-23,112-0014,434.06,422.0,12.06,21968.7,0.29072316523053254,6386.81
517,2026-04-23,112-0016,442.65,422.0,20.65,24608.19,0.26177423044929354,6441.79
518,2026-04-23,112-0018,557.67,559.0,-1.33,30393.52,0.27738313956395966,8430.65
519,2026-04-23,112-0021,432.15,473.0,-40.85,30026.92,0.22553162295699994,6772.02
520,2026-04-23,112-0006,503.59,559.0,-55.41,29620.74,0.24629195624417216,7295.35
521,2026-04-23,112-0007,434.54,422.0,12.54,18381.9,0.3229709660046023,5936.82
522,2026-04-23,112-0010,391.25,422.0,-30.75,21301.26,0.2474032052564027,5270.0
523,2026-04-23,112-0033,449.27,473.0,-23.73,25082.33,0.2322172621124114,5824.55
524,2026-04-23,112-0036,606.8,620.0,-13.2,38107.61,0.21896545073280638,8344.25
505,2026-04-23,112-0003,476.42,473.0,3.42,24293.0,0.253453,6157.13
